Code_function;Definition_function
3.4.16;Hydrolases,Acting on peptide bonds (peptidases),Serine-type carboxypeptidases [EC3.4.16]
3.4.17;Hydrolases,Acting on peptide bonds (peptidases),Metallocarboxypeptidases [EC3.4.17]
3.4.18;Hydrolases,Acting on peptide bonds (peptidases),Cysteine-type carboxypeptidases [EC3.4.18]
3.4.19;Hydrolases,Acting on peptide bonds (peptidases),Omega peptidases [EC3.4.19]
3.4.21;Hydrolases,Acting on peptide bonds (peptidases),Serine endopeptidases [EC3.4.21]
3.4.22;Hydrolases,Acting on peptide bonds (peptidases),Cysteine endopeptidases [EC3.4.22]
3.4.23;Hydrolases,Acting on peptide bonds (peptidases),Aspartic endopeptidases [EC3.4.23]
3.4.24;Hydrolases,Acting on peptide bonds (peptidases),Metalloendopeptidases [EC3.4.24]
3.4.25;Hydrolases,Acting on peptide bonds (peptidases),Threonine endopeptidases [EC3.4.25]
3.4.99;Hydrolases,Acting on peptide bonds (peptidases),Endopeptidases of unknown catalytic mechanism (sub-subclass is currently empty) [EC3.4.99]
3.5;Hydrolases,Acting on carbon-nitrogen bonds, other than peptide bonds [EC3.5]
3.5.1;Hydrolases,Acting on carbon-nitrogen bonds, other than peptide bonds,In linear amides [EC3.5.1]
3.5.2;Hydrolases,Acting on carbon-nitrogen bonds, other than peptide bonds,In cyclic amides [EC3.5.2]
3.5.3;Hydrolases,Acting on carbon-nitrogen bonds, other than peptide bonds,In linear amidines [EC3.5.3]
3.5.4;Hydrolases,Acting on carbon-nitrogen bonds, other than peptide bonds,In cyclic amidines [EC3.5.4]
3.5.5;Hydrolases,Acting on carbon-nitrogen bonds, other than peptide bonds,In nitriles [EC3.5.5]
3.5.99;Hydrolases,Acting on carbon-nitrogen bonds, other than peptide bonds,In other compounds [EC3.5.99]
3.6;Hydrolases,Acting on acid anhydrides [EC3.6]
3.6.1;Hydrolases,Acting on acid anhydrides,In phosphorus-containing anhydrides [EC3.6.1]
3.6.2;Hydrolases,Acting on acid anhydrides,In sulfonyl-containing anhydrides [EC3.6.2]
3.6.3;Hydrolases,Acting on acid anhydrides,Acting on acid anhydrides to catalyse transmembrane movement of substances [EC3.6.3]
3.6.4;Hydrolases,Acting on acid anhydrides,Acting on acid anhydrides to facilitate cellular and subcellular movement [EC3.6.4]
3.6.5;Hydrolases,Acting on acid anhydrides,Acting on GTP to facilitate cellular and subcellular movement [EC3.6.5]
3.7;Hydrolases,Acting on carbon-carbon bonds [EC3.7]
3.7.1;Hydrolases,Acting on carbon-carbon bonds,In ketonic substances [EC3.7.1]
3.8;Hydrolases,Acting on halide bonds [EC3.8]
3.8.1;Hydrolases,Acting on halide bonds,In carbon-halide compounds [EC3.8.1]
3.8.2;Hydrolases,Acting on halide bonds,In phosphorus-halide compounds (deleted sub-subclass) [EC3.8.2]
3.9;Hydrolases,Acting on phosphorus-nitrogen bonds [EC3.9]
3.9.1;Hydrolases,Acting on phosphorus-nitrogen bonds,Acting on phosphorus-nitrogen bonds (only sub-subclass identified to date) [EC3.9.1]
3.10;Hydrolases,Acting on sulfur-nitrogen bonds [EC3.10]
3.10.1;Hydrolases,Acting on sulfur-nitrogen bonds,Acting on sulfur-nitrogen bonds (only sub-subclass identified to date) [EC3.10.1]
3.11;Hydrolases,Acting on carbon-phosphorus bonds [EC3.11]
3.11.1;Hydrolases,Acting on carbon-phosphorus bonds,Acting on carbon-phosphorus bonds (only sub-subclass identified to date) [EC3.11.1]
3.12;Hydrolases,Acting on sulfur-sulfur bonds [EC3.12]
3.12.1;Hydrolases,Acting on sulfur-sulfur bonds,Acting on sulfur-sulfur bonds (only sub-subclass identified to date) [EC3.12.1]
3.13;Hydrolases,Acting on carbon-sulfur bonds [EC3.13]
3.13.1;Hydrolases,Acting on carbon-sulfur bonds,Acting on carbon-sulfur bonds [EC3.13.1]
3.13.2;Hydrolases,Acting on carbon-sulfur bonds,Thioether and trialkylsulfonium hydrolases [EC3.13.2]
4;Lyases [EC4]
4.1;Lyases,Carbon-carbon lyases [EC4.1]
4.1.1;Lyases,Carbon-carbon lyases,Carboxy-lyases [EC4.1.1]
4.1.2;Lyases,Carbon-carbon lyases,Aldehyde-lyases [EC4.1.2]
4.1.3;Lyases,Carbon-carbon lyases,Oxo-acid-lyases [EC4.1.3]
4.1.99;Lyases,Carbon-carbon lyases,Other carbon-carbon lyases [EC4.1.99]
4.2;Lyases,Carbon-oxygen lyases [EC4.2]
4.2.1;Lyases,Carbon-oxygen lyases,Hydro-lyases [EC4.2.1]
4.2.2;Lyases,Carbon-oxygen lyases,Acting on polysaccharides [EC4.2.2]
4.2.3;Lyases,Carbon-oxygen lyases,Acting on phosphates [EC4.2.3]
4.2.99;Lyases,Carbon-oxygen lyases,Other carbon-oxygen lyases [EC4.2.99]
4.3;Lyases,Carbon-nitrogen lyases [EC4.3]
4.3.1;Lyases,Carbon-nitrogen lyases,Ammonia-lyases [EC4.3.1]
4.3.2;Lyases,Carbon-nitrogen lyases,Amidine-lyases [EC4.3.2]
4.3.3;Lyases,Carbon-nitrogen lyases,Amine-lyases [EC4.3.3]
4.3.99;Lyases,Carbon-nitrogen lyases,Other carbon-nitrogen lyases [EC4.3.99]
4.4;Lyases,Carbon-sulfur lyases [EC4.4]
4.4.1;Lyases,Carbon-sulfur lyases,Carbon-sulfur lyases (only sub-subclass identified to date) [EC4.4.1]
4.5;Lyases,Carbon-halide lyases [EC4.5]
4.5.1;Lyases,Carbon-halide lyases,Carbon-halide lyases (only sub-subclass identified to date) [EC4.5.1]
4.6;Lyases,Phosphorus-oxygen lyases [EC4.6]
4.6.1;Lyases,Phosphorus-oxygen lyases,Phosphorus-oxygen lyases (only sub-subclass identified to date) [EC4.6.1]
4.7;Lyases,carbon-phosphorus lyases [EC4.7]
4.7.1;Lyases,carbon-phosphorus lyases,carbon-phosphorus lyases (only sub-subclass identified to date) [EC4.7.1]
4.8;Lyases,Nitrogen-oxygen lyases [EC4.8]
4.8.1;Lyases,Nitrogen-oxygen lyases,Hydro-lyases [EC4.8.1]
4.98;Lyases,ATP-independent chelatases [EC4.98]
4.98.1;Lyases,ATP-independent chelatases,Forming coordination complexes [EC4.98.1]
4.99;Lyases,Other lyases [EC4.99]
4.99.1;Lyases,Other lyases,Sole sub-subclass for lyases that do not belong in the other subclasses [EC4.99.1]
5;Isomerases [EC5]
5.1;Isomerases,Racemases and epimerases [EC5.1]
5.1.1;Isomerases,Isomerases,Racemases and epimerases,Acting on amino acids and derivatives [EC5.1.1]
5.1.2;Isomerases,Isomerases,Racemases and epimerases,Acting on hydroxy acids and derivatives [EC5.1.2]
5.1.3;Isomerases,Isomerases,Racemases and epimerases,Acting on carbohydrates and derivatives [EC5.1.3]
5.1.99;Isomerases,Isomerases,Racemases and epimerases,Acting on other compounds [EC5.1.99]
5.2;Isomerases,cis-trans-Isomerases [EC5.2]
5.2.1;Isomerases,cis-trans-Isomerases,cis-trans Isomerases (only sub-subclass identified to date) [EC5.2.1]
5.3;Isomerases,Intramolecular oxidoreductases [EC5.3]
5.3.1;Isomerases,Intramolecular oxidoreductases,Interconverting aldoses and ketoses, and related compounds [EC5.3.1]
5.3.2;Isomerases,Intramolecular oxidoreductases,Interconverting keto- and enol-groups [EC5.3.2]
5.3.3;Isomerases,Intramolecular oxidoreductases,Transposing C=C bonds [EC5.3.3]
5.3.4;Isomerases,Intramolecular oxidoreductases,Transposing S-S bonds [EC5.3.4]
5.3.99;Isomerases,Intramolecular oxidoreductases,Other intramolecular oxidoreductases [EC5.3.99]
5.4;Isomerases,Intramolecular transferases [EC5.4]
5.4.1;Isomerases,Intramolecular transferases,Transferring acyl groups [EC5.4.1]
5.4.2;Isomerases,Intramolecular transferases,Phosphotransferases (phosphomutases) [EC5.4.2]
5.4.3;Isomerases,Intramolecular transferases,Transferring amino groups [EC5.4.3]
5.4.4;Isomerases,Intramolecular transferases,Transferring hydroxy groups [EC5.4.4]
5.4.99;Isomerases,Intramolecular transferases,Transferring other groups [EC5.4.99]
5.5;Isomerases,Intramolecular lyases [EC5.5]
5.5.1;Isomerases,Intramolecular lyases,Intramolecular lyases (only sub-subclass identified to date) [EC5.5.1]
5.6;Isomerases,Isomerases altering macromolecular conformation [EC5.6]
5.6.1;Isomerases,Isomerases altering macromolecular conformation,Enzymes altering polypeptide conformation or assembly [EC5.6.1]
5.6.2;Isomerases,Isomerases altering macromolecular conformation,Enzymes altering nucleic acid conformation [EC5.6.2]
5.99;Isomerases,Other isomerases [EC5.99]
5.99.1;Isomerases,Other isomerases,Sole sub-subclass for isomerases that do not belong in the other subclasses [EC5.99.1]
6;Ligases [EC6]
6.1;Ligases,Forming carbon-oxygen bonds [EC6.1]
6.1.1;Ligases,Forming carbon-oxygen bonds,Ligases forming aminoacyl-tRNA and related compounds [EC6.1.1]
6.1.2;Ligases,Forming carbon-oxygen bonds,acid-alcohol ligases (ester synthases) [EC6.1.2]
6.1.3;Ligases,Forming carbon-oxygen bonds,Cyclo-ligases [EC6.1.3]
6.2;Ligases,Forming carbon-sulfur bonds [EC6.2]
6.2.1;Ligases,Forming carbon-sulfur bonds,Acid-thiol ligases [EC6.2.1]
6.2.2;Ligases,Forming carbon-sulfur bonds,Amide---thiol ligases [EC6.2.2]
6.3;Ligases,Forming carbon-nitrogen bonds [EC6.3]
6.3.1;Ligases,Forming carbon-nitrogen bonds,Acid—ammonia (or amine) ligases (amide synthases) [EC6.3.1]
6.3.2;Ligases,Forming carbon-nitrogen bonds,Acid—amino-acid ligases (peptide synthases) [EC6.3.2]
6.3.3;Ligases,Forming carbon-nitrogen bonds,Cyclo-ligases [EC6.3.3]
6.3.4;Ligases,Forming carbon-nitrogen bonds,Other carbon-nitrogen ligases [EC6.3.4]
6.3.5;Ligases,Forming carbon-nitrogen bonds,Carbon-nitrogen ligases with glutamine as amido-N-donor [EC6.3.5]
6.4;Ligases,Forming carbon-carbon bonds [EC6.4]
6.4.1;Ligases,Forming carbon-carbon bonds,Ligases that form carbon-carbon bonds (only sub-subclass identified to date) [EC6.4.1]
6.5;Ligases,Forming phosphoric-ester bonds [EC6.5]
6.5.1;Ligases,Forming phosphoric-ester bonds,Ligases that form phosphoric-ester bonds (only sub-subclass identified to date) [EC6.5.1]
6.6;Ligases,Forming nitrogen-metal bonds [EC6.6]
6.6.1;Ligases,Forming nitrogen-metal bonds,Forming coordination complexes [EC6.6.1]
6.7;Ligases,Forming nitrogen-nitrogen bonds [EC6.7]
6.7.1;Ligases,Forming nitrogen-nitrogen bonds,Forming diazo bonds [EC6.7.1]
7;Translocases [EC7]
7.1;Translocases,catalysing the translocation of hydrons [EC7.1]
7.1.1;Translocases,catalysing the translocation of hydrons,linked to oxidoreductase reactions [EC7.1.1]
7.1.2;Translocases,catalysing the translocation of hydrons,linked to the hydrolysis of a nucleoside triphosphate [EC7.1.2]
7.1.3;Translocases,catalysing the translocation of hydrons,linked to the hydrolysis of diphosphate [EC7.1.3]
7.2;Translocases,catalysing the translocation of inorganic cations [EC7.2]
7.2.1;Translocases,catalysing the translocation of inorganic cations,linked to oxidoreductase reactions [EC7.2.1]
7.2.2;Translocases,catalysing the translocation of inorganic cations,linked to the hydrolysis of a nucleoside triphosphate [EC7.2.2]
7.2.4;Translocases,catalysing the translocation of inorganic cations,linked to decarboxylation [EC7.2.4]
7.3;Translocases,catalysing the translocation of inorganic anions and their chelates [EC7.3]
7.3.2;Translocases,catalysing the translocation of inorganic anions and their chelates,linked to the hydrolysis of a nucleoside triphosphate [EC7.3.2]
7.4;Translocases,catalysing the translocation of amino acids and peptides [EC7.4]
7.4.2;Translocases,catalysing the translocation of amino acids and peptides,linked to the hydrolysis of a nucleoside triphosphate [EC7.4.2]
7.5;Translocases,catalysing the translocation of carbohydrates and their derivatives [EC7.5]
7.5.2;Translocases,catalysing the translocation of carbohydrates and their derivatives,linked to the hydrolysis of a nucleoside triphosphate [EC7.5.2]
7.6;Translocases,catalysing the translocation of other compounds [EC7.6]
7.6.2;Translocases,catalysing the translocation of other compounds,linked to the hydrolysis of a nucleoside triphosphate [EC7.6.2]
