Code_function;Definition_function
1.10.2.2;quinol—cytochrome-c reductase. Now EC 7.1.1.8, quinol—cytochrome-c reductase [EC 1.10.2.2]
1.10.3.1;catechol oxidase [EC 1.10.3.1]
1.10.3.2;laccase [EC 1.10.3.2]
1.10.3.3;L-ascorbate oxidase [EC 1.10.3.3]
1.10.3.4;o-aminophenol oxidase [EC 1.10.3.4]
1.10.3.5;3-hydroxyanthranilate oxidase [EC 1.10.3.5]
1.10.3.6;rifamycin-B oxidase [EC 1.10.3.6]
1.10.3.7;sulochrin oxidase [(+)-bisdechlorogeodin-forming]. Now EC 1.21.3.4, sulochrin oxidase [(+)-bisdechlorogeodin-forming] [EC 1.10.3.7]
1.10.3.8;sulochrin oxidase [(+)-bisdechlorogeodin-forming]. Now EC 1.21.3.5, sulochrin oxidase [(-)-bisdechlorogeodin-forming] [EC 1.10.3.8]
1.10.3.9;photosystem II [EC 1.10.3.9]
1.10.3.10;ubiquinol oxidase (H+-transporting). Now EC 7.1.1.3, ubiquinol oxidase (H+-transporting) [EC 1.10.3.10]
1.10.3.11;ubiquinol oxidase (non-electrogenic) [EC 1.10.3.11]
1.10.3.12;menaquinol oxidase (H+-transporting). Now EC 7.1.1.5, menaquinol oxidase (H+-transporting) [EC 1.10.3.12]
1.10.3.13;caldariellaquinol oxidase (H+-transporting). Now EC 7.1.1.4, caldariellaquinol oxidase (H+-transporting) [EC 1.10.3.13]
1.10.3.14;ubiquinol oxidase (electrogenic, non H+-transporting). Now EC 7.1.1.7, ubiquinol oxidase (electrogenic, proton-motive force generating) [EC 1.10.3.14]
1.10.3.15;grixazone synthase [EC 1.10.3.15]
1.10.3.16;dihydrophenazinedicarboxylate synthase [EC 1.10.3.16]
1.10.3.17;superoxide oxidase [EC 1.10.3.17]
1.10.5.1;ribosyldihydronicotinamide dehydrogenase (quinone) [EC 1.10.5.1]
1.10.9.1;plastoquinol—plastocyanin reductase. Now EC 7.1.1.6, plastoquinol—plastocyanin reductase [EC 1.10.9.1]
1.10.99.1;Now EC 1.10.9.1 plastoquinol—plastocyanin reductase [EC 1.10.99.1]
1.10.99.2;ribosyldihydronicotinamide dehydrogenase (quinone). Now classified as EC 1.10.5.1, ribosyldihydronicotinamide dehydrogenase (quinone). [EC 1.10.99.2]
1.10.99.3;violaxanthin de-epoxidase. Now classified as EC 1.23.5.1, violaxanthin de-epoxidase. [EC 1.10.99.3]
1.11.1.1;NADH peroxidase [EC 1.11.1.1]
1.11.1.2;NADPH peroxidase [EC 1.11.1.2]
1.11.1.3;fatty-acid peroxidase [EC 1.11.1.3]
1.11.1.4;now EC 1.13.11.11 tryptophan 2,3-dioxygenase [EC 1.11.1.4]
1.11.1.5;cytochrome-c peroxidase [EC 1.11.1.5]
1.11.1.6;catalase [EC 1.11.1.6]
1.11.1.7;peroxidase [EC 1.11.1.7]
1.11.1.8;iodide peroxidase [EC 1.11.1.8]
1.11.1.9;glutathione peroxidase [EC 1.11.1.9]
1.11.1.10;chloride peroxidase [EC 1.11.1.10]
1.11.1.11;L-ascorbate peroxidase [EC 1.11.1.11]
1.11.1.12;phospholipid-hydroperoxide glutathione peroxidase [EC 1.11.1.12]
1.11.1.13;manganese peroxidase [EC 1.11.1.13]
1.11.1.14;lignin peroxidase [EC 1.11.1.14]
1.11.1.15;"peroxiredoxin. Now described by EC 1.11.1.24, thioredoxin-dependent peroxiredoxin; EC 1.11.1.25, glutaredoxin-dependent peroxiredoxin; EC 1.11.1.26, NADH-dependent peroxiredoxin; EC 1.11.1.27, glutathione-dependent peroxiredoxin; EC 1.11.1.28, lipoyl-dependent peroxiredoxin; and EC 1.11.1.29, mycoredoxin-dependent peroxiredoxin. [EC 1.11.1.15]"
1.11.1.16;versatile peroxidase [EC 1.11.1.16]
1.11.1.17;glutathione amide-dependent peroxidase [EC 1.11.1.17]
1.11.1.18;bromide peroxidase [EC 1.11.1.18]
1.11.1.19;dye decolorizing peroxidase [EC 1.11.1.19]
1.11.1.20;prostamide/prostaglandin F2α synthase [EC 1.11.1.20]
1.11.1.21;catalase-peroxidase [EC 1.11.1.21]
1.11.1.22;hydroperoxy fatty acid reductase [EC 1.11.1.22]
1.11.1.23;(S)-2-hydroxypropylphosphonic acid epoxidase [EC 1.11.1.23]
1.11.1.24;thioredoxin-dependent peroxiredoxin [EC 1.11.1.24]
1.11.1.25;glutaredoxin-dependent peroxiredoxin [EC 1.11.1.25]
1.11.1.26;NADH-dependent peroxiredoxin [EC 1.11.1.26]
1.11.1.27;glutathione-dependent peroxiredoxin [EC 1.11.1.27]
1.11.1.28;lipoyl-dependent peroxiredoxin [EC 1.11.1.28]
1.11.1.29;mycoredoxin-dependent peroxiredoxin [EC 1.11.1.29]
1.11.2.1;unspecific peroxygenase [EC 1.11.2.1]
1.11.2.2;myeloperoxidase [EC 1.11.2.2]
1.11.2.3;plant seed peroxygenase [EC 1.11.2.3]
1.11.2.4;fatty-acid peroxygenase [EC 1.11.2.4]
1.11.2.5;3-methyl-L-tyrosine peroxygenase [EC 1.11.2.5]
1.11.2.6;L-tyrosine peroxygenase [EC 1.11.2.6]
1.12.1.1;peroxidase. Now EC 1.12.7.2, ferredoxin hydrogenase [EC 1.12.1.1]
1.12.1.2;hydrogen dehydrogenase [EC 1.12.1.2]
1.12.1.3;hydrogen dehydrogenase (NADP+) [EC 1.12.1.3]
1.12.1.4;hydrogenase (NAD+, ferredoxin) [EC 1.12.1.4]
1.12.1.5;hydrogen dehydrogenase [NAD(P)+] [EC 1.12.1.5]
1.12.2.1;cytochrome-c3 hydrogenase [EC 1.12.2.1]
1.12.5.1;hydrogen:quinone oxidoreductase [EC 1.12.5.1]
1.12.7.1;ferredoxin hydrogenase. Now EC 1.12.7.2, ferredoxin hydrogenase [EC 1.12.7.1]
1.12.7.2;ferredoxin hydrogenase [EC 1.12.7.2]
1.12.98.1;coenzyme F420 hydrogenase [EC 1.12.98.1]
1.12.98.2;5,10-methenyltetrahydromethanopterin hydrogenase [EC 1.12.98.2]
1.12.98.3;Methanosarcina-phenazine hydrogenase [EC 1.12.98.3]
1.12.98.4;sulfhydrogenase [EC 1.12.98.4]
1.12.99.1;coenzyme F420 hydrogenase. Now EC 1.12.98.1, coenzyme F420 hydrogenase [EC 1.12.99.1]
1.12.99.2; coenzyme-M-7-mercaptoheptanoylthreonine-phosphate-heterodisulfide hydrogenase. Now shown to be two enzymes, EC 1.12.98.3, Methanosarcina-phenazine hydrogenase and EC 1.8.98.1, CoB—CoM heterodisulfide reductase [EC 1.12.99.2]
1.12.99.3;hydrogen:quinone oxidoreductase. Now EC 1.12.5.1, hydrogen:quinone oxidoreductase [EC 1.12.99.3]
1.12.99.4;N5,N10-methenyltetrahydromethanopterin hydrogenase. Now EC 1.12.98.2, 5,10-methenyltetrahydromethanopterin hydrogenase [EC 1.12.99.4]
1.12.99.5; 3,4-dihydroxyquinoline 2,4-dioxygenase. Identical to EC 1.13.11.47, 3-hydroxy-4-oxoquinoline 2,4-dioxygenase [EC 1.12.99.5]
1.12.99.6;hydrogenase (acceptor) [EC 1.12.99.6]
1.13.11.1;catechol 1,2-dioxygenase [EC 1.13.11.1]
1.13.11.2;catechol 2,3-dioxygenase [EC 1.13.11.2]
1.13.11.3;protocatechuate 3,4-dioxygenase [EC 1.13.11.3]
1.13.11.4;gentisate 1,2-dioxygenase [EC 1.13.11.4]
1.13.11.5;homogentisate 1,2-dioxygenase [EC 1.13.11.5]
1.13.11.6;3-hydroxyanthranilate 3,4-dioxygenase [EC 1.13.11.6]
1.13.11.7; 3,4-dihydroxyphenylacetate 3,4-dioxygenase [EC 1.13.11.7]
1.13.11.8;protocatechuate 4,5-dioxygenase [EC 1.13.11.8]
1.13.11.9;2,5-dihydroxypyridine 5,6-dioxygenase [EC 1.13.11.9]
1.13.11.10;7,8-dihydroxykynurenate 8,8a-dioxygenase [EC 1.13.11.10]
1.13.11.11;tryptophan 2,3-dioxygenase [EC 1.13.11.11]
1.13.11.12;linoleate 13S-lipoxygenase [EC 1.13.11.12]
1.13.11.13;ascorbate 2,3-dioxygenase. The activity is the sum of several enzymatic and spontaneous reactions [EC 1.13.11.13]
1.13.11.14;2,3-dihydroxybenzoate 3,4-dioxygenase [EC 1.13.11.14]
1.13.11.15;3,4-dihydroxyphenylacetate 2,3-dioxygenase [EC 1.13.11.15]
1.13.11.16;3-carboxyethylcatechol 2,3-dioxygenase [EC 1.13.11.16]
1.13.11.17;indole 2,3-dioxygenase [EC 1.13.11.17]
1.13.11.18;persulfide dioxygenase [EC 1.13.11.18]
1.13.11.19;cysteamine dioxygenase [EC 1.13.11.19]
1.13.11.20;cysteine dioxygenase [EC 1.13.11.20]
1.13.11.21;β-carotene 15,15′-dioxygenase. Now EC 1.14.99.36, β-carotene 15,15′-monooxygenase [EC 1.13.11.21]
1.13.11.22;caffeate 3,4-dioxygenase [EC 1.13.11.22]
1.13.11.23;2,3-dihydroxyindole 2,3-dioxygenase [EC 1.13.11.23]
1.13.11.24;quercetin 2,3-dioxygenase [EC 1.13.11.24]
1.13.11.25;3,4-dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione 4,5-dioxygenase [EC 1.13.11.25]
1.13.11.26;peptide-tryptophan 2,3-dioxygenase [EC 1.13.11.26]
1.13.11.27;4-hydroxyphenylpyruvate dioxygenase [EC 1.13.11.27]
1.13.11.28;2,3-dihydroxybenzoate 2,3-dioxygenase [EC 1.13.11.28]
1.13.11.29;stizolobate synthase [EC 1.13.11.29]
1.13.11.30;stizolobinate synthase [EC 1.13.11.30]
1.13.11.31;arachidonate 12-lipoxygenase [EC 1.13.11.31]
1.13.11.32;2-nitropropane dioxygenase. Now EC 1.13.12.16, nitronate monooxygenase [EC 1.13.11.32]
1.13.11.33;arachidonate 15-lipoxygenase [EC 1.13.11.33]
1.13.11.34;arachidonate 5-lipoxygenase [EC 1.13.11.34]
1.13.11.35;pyrogallol 1,2-oxygenase [EC 1.13.11.35]
1.13.11.36;chloridazon-catechol dioxygenase [EC 1.13.11.36]
1.13.11.37;hydroxyquinol 1,2-dioxygenase [EC 1.13.11.37]
1.13.11.38;1-hydroxy-2-naphthoate 1,2-dioxygenase [EC 1.13.11.38]
1.13.11.39;biphenyl-2,3-diol 1,2-dioxygenase [EC 1.13.11.39]
1.13.11.40;arachidonate 8-lipoxygenase [EC 1.13.11.40]
1.13.11.41;2,4′-dihydroxyacetophenone dioxygenase [EC 1.13.11.41]
1.13.11.42; indoleamine-pyrrole 2,3-dioxygenase. The enzyme was identical to EC 1.13.11.11, tryptophan 2,3-dioxygenase [EC 1.13.11.42]
1.13.11.43;lignostilbene αβ-dioxygenase [EC 1.13.11.43]
1.13.11.44;linoleate diol synthase. Activity is covered by EC 1.13.11.60, linoleate 8R-lipoxygenase and EC 5.4.4.6, 9,12-octadecadienoate 8-hydroperoxide 8S-isomerase. [EC 1.13.11.44]
1.13.11.45;linoleate 11-lipoxygenase [EC 1.13.11.45]
1.13.11.46;4-hydroxymandelate synthase [EC 1.13.11.46]
1.13.11.47;3-hydroxy-4-oxoquinoline 2,4-dioxygenase [EC 1.13.11.47]
1.13.11.48;3-hydroxy-2-methylquinolin-4-one 2,4-dioxygenase [EC 1.13.11.48]
1.13.11.49;chlorite O2-lyase [EC 1.13.11.49]
1.13.11.50;acetylacetone-cleaving enzyme [EC 1.13.11.50]
1.13.11.51;9-cis-epoxycarotenoid dioxygenase [EC 1.13.11.51]
1.13.11.52;indoleamine 2,3-dioxygenase [EC 1.13.11.52]
1.13.11.53;acireductone dioxygenase (Ni2+-requiring) [EC 1.13.11.53]
1.13.11.54;acireductone dioxygenase [iron(II)-requiring] [EC 1.13.11.54]
1.13.11.55;sulfur oxygenase/reductase [EC 1.13.11.55]
1.13.11.56;1,2-dihydroxynaphthalene dioxygenase [EC 1.13.11.56]
1.13.11.57;gallate dioxygenase [EC 1.13.11.57]
1.13.11.58;linoleate 9S-lipoxygenase [EC 1.13.11.58]
1.13.11.59;torulene dioxygenase [EC 1.13.11.59]
1.13.11.60;linoleate 8R-lipoxygenase [EC 1.13.11.60]
1.13.11.61;linolenate 9R-lipoxygenase [EC 1.13.11.61]
1.13.11.62;linoleate 10R-lipoxygenase [EC 1.13.11.62]
1.13.11.63;β-carotene 15,15′-dioxygenase [EC 1.13.11.63]
1.13.11.64;5-nitrosalicylate dioxygenase [EC 1.13.11.64]
1.13.11.65;carotenoid isomerooxygenase [EC 1.13.11.65]
1.13.11.66;hydroquinone 1,2-dioxygenase [EC 1.13.11.66]
1.13.11.67;8′-apo-β-carotenoid 14′,13′-cleaving dioxygenase [EC 1.13.11.67]
1.13.11.68;9-cis-β-carotene 9′,10′-cleaving dioxygenase [EC 1.13.11.68]
1.13.11.69;carlactone synthase [EC 1.13.11.69]
1.13.11.70;all-trans-10′-apo-β-carotenal 13,14-cleaving dioxygenase [EC 1.13.11.70]
1.13.11.71;carotenoid-9′,10′-cleaving dioxygenase [EC 1.13.11.71]
1.13.11.72;2-hydroxyethylphosphonate dioxygenase [EC 1.13.11.72]
1.13.11.73;methylphosphonate synthase [EC 1.13.11.73]
1.13.11.74;2-aminophenol 1,6-dioxygenase [EC 1.13.11.74]
1.13.11.75;all-trans-8′-apo-β-carotenal 15,15′-oxygenase [EC 1.13.11.75]
1.13.11.76;2-amino-5-chlorophenol 1,6-dioxygenase [EC 1.13.11.76]
1.13.11.77;oleate 10S-lipoxygenase [EC 1.13.11.77]
1.13.11.78;2-amino-1-hydroxyethylphosphonate dioxygenase (glycine-forming) [EC 1.13.11.78]
1.13.11.79;aerobic 5,6-dimethylbenzimidazole synthase [EC 1.13.11.79]
1.13.11.80;(3,5-dihydroxyphenyl)acetyl-CoA 1,2-dioxygenase [EC 1.13.11.80]
1.13.11.81;7,8-dihydroneopterin oxygenase [EC 1.13.11.81]
1.13.11.82;8′-apo-carotenoid 13,14-cleaving dioxygenase [EC 1.13.11.82]
1.13.11.83;4-hydroxy-3-prenylphenylpyruvate oxygenase [EC 1.13.11.83]
1.13.11.84;crocetin dialdehyde synthase [EC 1.13.11.84]
1.13.11.85;exo-cleaving rubber dioxygenase [EC 1.13.11.85]
1.13.11.86;5-aminosalicylate 1,2-dioxygenase [EC 1.13.11.86]
1.13.11.87;endo-cleaving rubber dioxygenase [EC 1.13.11.87]
1.13.11.88;isoeugenol monooxygenase [EC 1.13.11.88]
1.13.11.89;(hydroxymethyl)phosphonate dioxygenase [EC 1.13.11.89]
1.13.11.90;[1-hydroxy-2-(trimethylamino)ethyl]phosphonate dioxygenase (glycine-betaine-forming) [EC 1.13.11.90]
1.13.11.91;3-mercaptopropionate dioxygenase [EC 1.13.11.91]
1.13.11.92;fatty acid α-dioxygenase [EC 1.13.11.92]
1.13.11.93;2-oxoadipate dioxygenase/decarboxylase [EC 1.13.11.93]
1.13.12.1;arginine 2-monooxygenase [EC 1.13.12.1]
1.13.12.2;lysine 2-monooxygenase [EC 1.13.12.2]
1.13.12.3;tryptophan 2-monooxygenase [EC 1.13.12.3]
1.13.12.4;lactate 2-monooxygenase [EC 1.13.12.4]
1.13.12.5;Renilla-type luciferase [EC 1.13.12.5]
1.13.12.6;Cypridina-luciferin 2-monooxygenase [EC 1.13.12.6]
1.13.12.7;firefly luciferase [EC 1.13.12.7]
1.13.12.8;Watasenia-luciferin 2-monooxygenase [EC 1.13.12.8]
1.13.12.9;phenylalanine 2-monooxygenase [EC 1.13.12.9]
1.13.12.10; lysine 6-monooxygenase. Reaction covered by EC 1.14.13.59, L-lysine 6-monooxygenase (NADPH) [EC 1.13.12.10]
1.13.12.11;methylphenyltetrahydropyridine N-monooxygenase. The activity is due to EC 1.14.13.8, flavin-containing monooxygenase [EC 1.13.12.11]
1.13.12.12;apo-β-carotenoid-14′,13′-dioxygenase. The enzyme was misclassified and has been transferred to EC 1.13.11.67, 8-apo-β-carotenoid 14′,13′-cleaving dioxygenase [EC 1.13.12.12]
1.13.12.13;Oplophorus-luciferin 2-monooxygenase [EC 1.13.12.13]
1.13.12.14;chlorophyllide-a oxygenase. Now EC 1.14.13.122, chlorophyllide-a oxygenase [EC 1.13.12.14]
1.13.12.15;3,4-dihydroxyphenylalanine oxidative deaminase [EC 1.13.12.15]
1.13.12.16;nitronate monooxygenase [EC 1.13.12.16]
1.13.12.17;dichloroarcyriaflavin A synthase [EC 1.13.12.17]
1.13.12.18;dinoflagellate luciferase [EC 1.13.12.18]
1.13.12.19;2-oxoglutarate dioxygenase (ethene-forming) [EC 1.13.12.19]
1.13.12.20;noranthrone monooxygenase [EC 1.13.12.20]
1.13.12.21;tetracenomycin-F1 monooxygenase [EC 1.13.12.21]
1.13.12.22;deoxynogalonate monooxygenase [EC 1.13.12.22]
1.13.12.23;4-hydroxy-3-prenylbenzoate synthase [EC 1.13.12.23]
1.13.12.24;calcium-regulated photoprotein [EC 1.13.12.24]
1.13.99.1;inositol oxygenase [EC 1.13.99.1]
1.13.99.2;benzoate 1,2-dioxygenase. Now EC 1.14.12.10, benzoate 1,2-dioxygenase [EC 1.13.99.2]
1.13.99.3;tryptophan 2′-dioxygenase [EC 1.13.99.3]
1.13.99.4;4-chlorophenylacetate 3,4-dioxygenase. Now EC 1.14.12.9, 4-chlorophenylacetate 3,4-dioxygenase [EC 1.13.99.4]
1.13.99.5;now EC 1.13.11.47, 3-hydroxy-4-oxoquinoline 2,4-dioxygenase [EC 1.13.99.5]
1.14.1.1;now EC 1.14.14.1, unspecific monooxygenase [EC 1.14.1.1]
1.14.1.2;now EC 1.14.13.9, kynurenine 3-monooxygenase [EC 1.14.1.2]
1.14.1.3;squalene hydroxylase. Activity is covered by EC 1.14.99.7, squalene monooxygenase and EC 5.4.99.7, lanosterol synthase [EC 1.14.1.3]
1.14.1.4;now EC 1.14.99.2, kynurenine 7,8-hydroxylase [EC 1.14.1.4]
1.14.1.5;now EC 1.14.13.5, imidazoleacetate 4-monooxygenase [EC 1.14.1.5]
1.14.1.6;now EC 1.14.15.4, steroid 11β-monooxygenase [EC 1.14.1.6]
1.14.1.7;now EC 1.14.99.9, steroid 17α-monooxygenase [EC 1.14.1.7]
1.14.1.8;now EC 1.14.99.10, steroid 21-monooxygenase [EC 1.14.1.8]
1.14.1.9; cholesterol 20-hydroxylase [EC 1.14.1.9]
1.14.1.10;now EC 1.14.99.11, estradiol 6β-monooxygenase [EC 1.14.1.10]
1.14.1.11;oestriol 2-hydroxylase [EC 1.14.1.11]
1.14.2.1;now EC 1.14.17.1, dopamine β-monooxygenase [EC 1.14.2.1]
1.14.2.2;now EC 1.13.11.27, 4-hydroxyphenylpyruvate dioxygenase [EC 1.14.2.2]
1.14.3.1;now EC 1.14.16.1, phenylalanine 4-monooxygenase [EC 1.14.3.1]
1.14.11.1;γ-butyrobetaine dioxygenase [EC 1.14.11.1]
1.14.11.2;procollagen-proline 4-dioxygenase [EC 1.14.11.2]
1.14.11.3;pyrimidine-deoxynucleoside 2′-dioxygenase [EC 1.14.11.3]
1.14.11.4;procollagen-lysine 5-dioxygenase [EC 1.14.11.4]
1.14.11.5; 5-hydroxymethyluracil,2-oxoglutarate dioxygenase. Now included with EC 1.14.11.6 thymine dioxygenase [EC 1.14.11.5]
1.14.11.6;thymine dioxygenase [EC 1.14.11.6]
1.14.11.7;procollagen-proline 3-dioxygenase [EC 1.14.11.7]
1.14.11.8;trimethyllysine dioxygenase [EC 1.14.11.8]
1.14.11.9;flavanone 3-dioxygenase [EC 1.14.11.9]
1.14.11.10;pyrimidine-deoxynucleoside 1′-dioxygenase [EC 1.14.11.10]
1.14.11.11;hyoscyamine (6S)-dioxygenase [EC 1.14.11.11]
1.14.11.12;gibberellin-44 dioxygenase [EC 1.14.11.12]
1.14.11.13;gibberellin 2β-dioxygenase [EC 1.14.11.13]
1.14.11.14;6β-hydroxyhyoscyamine epoxidase. Now EC 1.14.20.13, 6β-hydroxyhyoscyamine epoxidase [EC 1.14.11.14]
1.14.11.15;gibberellin 3β-dioxygenase [EC 1.14.11.15]
1.14.11.16;peptide-aspartate β-dioxygenase [EC 1.14.11.16]
1.14.11.17;taurine dioxygenase [EC 1.14.11.17]
1.14.11.18;phytanoyl-CoA dioxygenase [EC 1.14.11.18]
1.14.11.19;anthocyanidin synthase. Now EC 1.14.20.4, anthocyanidin synthase [EC 1.14.11.19]
1.14.11.20;deacetoxyvindoline 4-hydroxylase [EC 1.14.11.20]
1.14.11.21;clavaminate synthase [EC 1.14.11.21]
1.14.11.22;flavone synthase. Now EC 1.14.20.5, flavone synthase [EC 1.14.11.22]
1.14.11.23;flavonol synthase. Now EC 1.14.20.6, flavonol synthase [EC 1.14.11.23]
1.14.11.24;2′-deoxymugineic-acid 2′-dioxygenase [EC 1.14.11.24]
1.14.11.25;mugineic-acid 3-dioxygenase [EC 1.14.11.25]
1.14.11.26;deacetoxycephalosporin-C hydroxylase [EC 1.14.11.26]
1.14.11.27;[histone H3]-dimethyl-L-lysine36 demethylase [EC 1.14.11.27]
1.14.11.28;proline 3-hydroxylase [EC 1.14.11.28]
1.14.11.29;hypoxia-inducible factor-proline dioxygenase [EC 1.14.11.29]
1.14.11.30;hypoxia-inducible factor-asparagine dioxygenase [EC 1.14.11.30]
1.14.11.31;thebaine 6-O-demethylase [EC 1.14.11.31]
1.14.11.32;codeine 3-O-demethylase [EC 1.14.11.32]
1.14.11.33;DNA oxidative demethylase [EC 1.14.11.33]
1.14.11.34;2-oxoglutarate/L-arginine monooxygenase/decarboxylase (succinate-forming). Now EC 1.14.20.7, 2-oxoglutarate/L-arginine monooxygenase/decarboxylase (succinate-forming) [EC 1.14.11.34]
1.14.11.35;1-deoxypentalenic acid 11β-hydroxylase [EC 1.14.11.35]
1.14.11.36;pentalenolactone F synthase [EC 1.14.11.36]
1.14.11.37;kanamycin B dioxygenase [EC 1.14.11.37]
1.14.11.38;verruculogen synthase [EC 1.14.11.38]
1.14.11.39;L-asparagine hydroxylase [EC 1.14.11.39]
1.14.11.40;enduracididine β-hydroxylase [EC 1.14.11.40]
1.14.11.41;L-arginine hydroxylase [EC 1.14.11.41]
1.14.11.42;tRNAPhe (7-(3-amino-3-carboxypropyl)wyosine37-C2)-hydroxylase [EC 1.14.11.42]
1.14.11.43;(S)-dichlorprop dioxygenase (2-oxoglutarate) [EC 1.14.11.43]
1.14.11.44;(R)-dichlorprop dioxygenase (2-oxoglutarate) [EC 1.14.11.44]
1.14.11.45;L-isoleucine 4-hydroxylase [EC 1.14.11.45]
1.14.11.46;2-aminoethylphosphonate dioxygenase [EC 1.14.11.46]
1.14.11.47;[50S ribosomal protein L16]-arginine 3-hydroxylase [EC 1.14.11.47]
1.14.11.48;xanthine dioxygenase [EC 1.14.11.48]
1.14.11.49;uridine-5′-phosphate dioxygenase [EC 1.14.11.49]
1.14.11.50;(–)-deoxypodophyllotoxin synthase. Now EC 1.14.20.8, (–)-deoxypodophyllotoxin synthase [EC 1.14.11.50]
1.14.11.51;DNA N6-methyladenine demethylase [EC 1.14.11.51]
1.14.11.52;validamycin A dioxygenase [EC 1.14.11.52]
1.14.11.53;mRNA N6-methyladenine demethylase [EC 1.14.11.53]
1.14.11.54;mRNA N1-methyladenine demethylase [EC 1.14.11.54]
1.14.11.55;ectoine hydroxylase [EC 1.14.11.55]
1.14.11.56;L-proline cis-4-hydroxylase [EC 1.14.11.56]
1.14.11.57;L-proline trans-4-hydroxylase [EC 1.14.11.57]
1.14.11.58;ornithine lipid ester-linked acyl 2-hydroxylase [EC 1.14.11.58]
1.14.11.59;2,4-dihydroxy-1,4-benzoxazin-3-one-glucoside dioxygenase [EC 1.14.11.59]
1.14.11.60;scopoletin 8-hydroxylase [EC 1.14.11.60]
1.14.11.61;feruloyl-CoA 6-hydroxylase [EC 1.14.11.61]
1.14.11.62;trans-4-coumaroyl-CoA 2-hydroxylase [EC 1.14.11.62]
1.14.11.63;peptidyl-lysine (3S)-dioxygenase [EC 1.14.11.63]
1.14.11.64;glutarate dioxygenase [EC 1.14.11.64]
1.14.11.65;[histone H3]-dimethyl-L-lysine9 demethylase [EC 1.14.11.65]
1.14.11.66;[histone H3]-trimethyl-L-lysine9 demethylase [EC 1.14.11.66]
1.14.11.67;[histone H3]-trimethyl-L-lysine4 demethylase [EC 1.14.11.67]
1.14.11.68;[histone H3]-trimethyl-L-lysine27 demethylase [EC 1.14.11.68]
1.14.11.69;[histone H3]-trimethyl-L-lysine36 demethylase [EC 1.14.11.69]
1.14.11.70;7-deoxycylindrospermopsin hydroxylase [EC 1.14.11.70]
1.14.11.71;methylphosphonate hydroxylase [EC 1.14.11.71]
1.14.11.72;[2-(trimethylamino)ethyl]phosphonate dioxygenase [EC 1.14.11.72]
1.14.11.73;[protein]-arginine 3-hydroxylase [EC 1.14.11.73]
1.14.11.74;L-isoleucine 31-dioxygenase [EC 1.14.11.74]
1.14.11.75;31-hydroxy-L-isoleucine 4-dioxygenase [EC 1.14.11.75]
1.14.11.76;L-glutamate 3(R)-hydroxylase [EC 1.14.11.76]
1.14.11.77;alkyl sulfatase [EC 1.14.11.77]
1.14.11.78;(R)-3-[(carboxymethyl)amino]fatty acid dioxygenase/decarboxylase [EC 1.14.11.78]
1.14.11.79;protein-L-histidine (3S)-3-hydroxylase [EC 1.14.11.79]
1.14.12.1;anthranilate 1,2-dioxygenase (deaminating, decarboxylating) [EC 1.14.12.1]
1.14.12.2;now EC 1.14.13.35 anthranilate 3-monooxygenase (deaminating) [EC 1.14.12.2]
1.14.12.3;benzene 1,2-dioxygenase [EC 1.14.12.3]
1.14.12.4;3-hydroxy-2-methylpyridinecarboxylate dioxygenase. Now EC 1.14.13.242, 3-hydroxy-2-methylpyridinecarboxylate monooxygenase [EC 1.14.12.4]
1.14.12.5;5-pyridoxate dioxygenase. Now EC 1.14.13.241, 5-pyridoxate monooxygenase [EC 1.14.12.5]
1.14.12.6;2-hydroxycyclohexanone 2-monooxygenase. Now EC 1.14.13.66, 2-hydroxycyclohexanone 2-monooxygenase [EC 1.14.12.6]
1.14.12.7;phthalate 4,5-dioxygenase [EC 1.14.12.7]
1.14.12.8;4-sulfobenzoate 3,4-dioxygenase [EC 1.14.12.8]
1.14.12.9;4-chlorophenylacetate 3,4-dioxygenase [EC 1.14.12.9]
1.14.12.10;benzoate 1,2-dioxygenase [EC 1.14.12.10]
1.14.12.11;toluene dioxygenase [EC 1.14.12.11]
1.14.12.12;naphthalene 1,2-dioxygenase [EC 1.14.12.12]
1.14.12.13;2-halobenzoate 1,2-dioxygenase [EC 1.14.12.13]
1.14.12.14;2-aminobenzenesulfonate 2,3-dioxygenase [EC 1.14.12.14]
1.14.12.15;terephthalate 1,2-dioxygenase [EC 1.14.12.15]
1.14.12.16;2-hydroxyquinoline 5,6-dioxygenase [EC 1.14.12.16]
1.14.12.17;nitric oxide dioxygenase [EC 1.14.12.17]
1.14.12.18;biphenyl 2,3-dioxygenase [EC 1.14.12.18]
1.14.12.19;3-phenylpropanoate dioxygenase [EC 1.14.12.19]
1.14.12.20;pheophorbide a oxygenase. Now classified as EC 1.14.15.17, pheophorbide a oxygenase. [EC 1.14.12.20]
1.14.12.21;benzoyl-CoA 2,3-dioxygenase. Now EC 1.14.13.208, benzoyl-CoA 2,3-epoxidase [EC 1.14.12.21]
1.14.12.22;carbazole 1,9a-dioxygenase [EC 1.14.12.22]
1.14.12.23;nitroarene dioxygenase [EC 1.14.12.23]
1.14.12.24;2,4-dinitrotoluene dioxygenase [EC 1.14.12.24]
1.14.12.25;p-cumate 2,3-dioxygenase [EC 1.14.12.25]
1.14.12.26;chlorobenzene dioxygenase [EC 1.14.12.26]
1.14.13.1;salicylate 1-monooxygenase [EC 1.14.13.1]
1.14.13.2;4-hydroxybenzoate 3-monooxygenase [EC 1.14.13.2]
